Date,CO,O3
12-Jan-23,2,20
13-Jan-23,2,20
14-Jan-23,3,30
15-Jan-23,3,26
16-Jan-23,3,25
17-Jan-23,3,26
18-Jan-23,2,34
19-Jan-23,3,31
20-Jan-23,3,36
21-Jan-23,3,36
22-Jan-23,5,37
23-Jan-23,6,40
24-Jan-23,6,32
25-Jan-23,6,26
26-Jan-23,6,37
27-Jan-23,6,34
30-Jan-23,7,32
31-Jan-23,10,36
01-Feb-23,9,31
02-Feb-23,8,30
03-Feb-23,8,24
04-Feb-23,10,25
05-Feb-23,9,23
06-Feb-23,9,26
07-Feb-23,10,24
08-Feb-23,10,32
09-Feb-23,10,35
10-Feb-23,10,36
11-Feb-23,10,34
12-Feb-23,10,36
13-Feb-23,11,31
14-Feb-23,13,26
15-Feb-23,13,31
16-Feb-23,11,34
17-Feb-23,13,34
18-Feb-23,13,36
19-Feb-23,14,48
20-Feb-23,15,48
21-Feb-23,15,48
22-Feb-23,14,42
23-Feb-23,15,39
24-Feb-23,15,32
25-Feb-23,15,31
26-Feb-23,15,30
27-Feb-23,16,23
28-Feb-23,16,22
02-Mar-23,16,21
03-Mar-23,17,22
04-Mar-23,17,19
05-Mar-23,17,23
06-Mar-23,18,26
07-Mar-23,18,25
08-Mar-23,19,25
09-Mar-23,19,26
10-Mar-23,19,24
11-Mar-23,19,34
12-Mar-23,18,19
13-Mar-23,20,22
14-Mar-23,19,25
15-Mar-23,19,25
16-Mar-23,19,23
17-Mar-23,20,25
18-Mar-23,19,28
19-Mar-23,19,27
20-Mar-23,19,28
21-Mar-23,19,28
22-Mar-23,20,32
23-Mar-23,20,31
24-Mar-23,20,26
25-Mar-23,20,33
26-Mar-23,20,39
27-Mar-23,20,29
28-Mar-23,22,44
29-Mar-23,22,33
30-Mar-23,22,31
31-Mar-23,23,n/a
01-Apr-23,n/a,24
02-Apr-23,n/a,n/a
03-Apr-23,n/a,n/a
04-Apr-23,n/a,n/a
05-Apr-23,n/a,n/a
06-Apr-23,n/a,n/a
07-Apr-23,n/a,n/a
08-Apr-23,n/a,n/a
09-Apr-23,n/a,n/a
10-Apr-23,24,24
11-Apr-23,24,24
12-Apr-23,24,31
13-Apr-23,25,29
14-Apr-23,n/a,n/a
15-Apr-23,n/a,35
16-Apr-23,n/a,37
17-Apr-23,n/a,30
18-Apr-23,n/a,32
19-Apr-23,0,30
20-Apr-23,1,22
21-Apr-23,2,35
22-Apr-23,3,26
23-Apr-23,3,19
24-Apr-23,3,17
25-Apr-23,5,n/a
26-Apr-23,6,31
27-Apr-23,6,42
28-Apr-23,5,32
29-Apr-23,3,33
30-Apr-23,5,35
02-May-23,5,26
03-May-23,5,31
04-May-23,5,33
05-May-23,5,36
06-May-23,3,35
07-May-23,3,33
08-May-23,5,39
09-May-23,3,42
10-May-23,6,n/a
11-May-23,3,29
12-May-23,5,27
13-May-23,5,30
14-May-23,3,29
15-May-23,3,27
16-May-23,5,26
17-May-23,3,23
18-May-23,3,22
19-May-23,n/a,n/a
20-May-23,n/a,n/a
21-May-23,5,47
22-May-23,5,33
23-May-23,3,30
24-May-23,5,20
25-May-23,5,28
26-May-23,5,36
27-May-23,5,44
28-May-23,n/a,n/a
29-May-23,5,38
30-May-23,11,18
31-May-23,6,24
31-May-23,6,24
01-Jun-23,6,29
02-Jun-23,6,31
03-Jun-23,5,25
04-Jun-23,6,87
05-Jun-23,5,44
06-Jun-23,6,29
07-Jun-23,n/a,n/a
08-Jun-23,n/a,n/a
09-Jun-23,n/a,n/a
10-Jun-23,n/a,n/a
11-Jun-23,n/a,n/a
12-Jun-23,n/a,n/a
13-Jun-23,n/a,n/a
14-Jun-23,5,14
15-Jun-23,5,9
16-Jun-23,3,10
17-Jun-23,3,11
18-Jun-23,3,11
19-Jun-23,3,16
20-Jun-23,5,10
21-Jun-23,5,13
22-Jun-23,5,16
23-Jun-23,14,13
24-Jun-23,5,14
25-Jun-23,3,13
26-Jun-23,14,7
27-Jun-23,5,15
28-Jun-23,3,14
29-Jun-23,n/a,n/a
02-Jul-23,n/a,n/a
03-Jul-23,n/a,n/a
04-Jul-23,n/a,n/a
05-Jul-23,n/a,n/a
06-Jul-23,n/a,n/a
07-Jul-23,18,18
08-Jul-23,3,19
09-Jul-23,3,15
10-Jul-23,3,n/a
11-Jul-23,3,19
12-Jul-23,3,18
13-Jul-23,3,18
14-Jul-23,5,17
15-Jul-23,3,17
16-Jul-23,3,15
17-Jul-23,5,14
18-Jul-23,5,12
19-Jul-23,5,15
20-Jul-23,5,16
21-Jul-23,5,16
22-Jul-23,5,18
23-Jul-23,3,14
24-Jul-23,6,16
25-Jul-23,5,20
26-Jul-23,5,16
27-Jul-23,7,17
28-Jul-23,5,16
29-Jul-23,5,19
30-Jul-23,5,21
31-Jul-23,5,20
02-Aug-23,n/a,n/a
03-Aug-23,n/a,n/a
04-Aug-23,n/a,n/a
05-Aug-23,n/a,n/a
06-Aug-23,n/a,n/a
07-Aug-23,n/a,n/a
08-Aug-23,n/a,n/a
09-Aug-23,n/a,n/a
10-Aug-23,18,20
11-Aug-23,5,21
12-Aug-23,5,24
13-Aug-23,3,17
14-Aug-23,7,15
15-Aug-23,5,26
16-Aug-23,5,19
17-Aug-23,5,19
18-Aug-23,5,16
19-Aug-23,5,17
20-Aug-23,5,23
21-Aug-23,5,19
22-Aug-23,3,19
23-Aug-23,5,24
24-Aug-23,5,23
25-Aug-23,7,29
26-Aug-23,5,23
27-Aug-23,6,22
28-Aug-23,5,23
29-Aug-23,5,17
30-Aug-23,5,19
31-Aug-23,5,19
01-Sept-23,5,21
02-Sept-23,5,21
03-Sept-23,5,21
04-Sept-23,6,17
05-Sept-23,10,24
06-Sept-23,11,21
07-Sept-23,5,23
08-Sept-23,7,26
09-Sept-23,6,30
10-Sept-23,5,26
11-Sept-23,5,19
12-Sept-23,5,27
13-Sept-23,6,25
14-Sept-23,6,27
15-Sept-23,5,26
16-Sept-23,5,24
17-Sept-23,5,22
18-Sept-23,5,21
19-Sept-23,14,17
20-Sept-23,5,12
21-Sept-23,6,19
22-Sept-23,6,22
23-Sept-23,6,30
24-Sept-23,6,22
25-Sept-23,6,18
26-Sept-23,6,20
27-Sept-23,6,36
28-Sept-23,6,31
29-Sept-23,7,25
30-Sept-23,6,29
02-Oct-23,8,28
03-Oct-23,6,30
04-Oct-23,6,27
05-Oct-23,6,23
06-Oct-23,18,22
07-Oct-23,5,19
08-Oct-23,5,19
09-Oct-23,5,19
10-Oct-23,5,n/a
11-Oct-23,19,n/a
12-Oct-23,3,n/a
13-Oct-23,6,n/a
14-Oct-23,6,n/a
15-Oct-23,5,n/a
16-Oct-23,20,n/a
17-Oct-23,5,n/a
18-Oct-23,5,n/a
19-Oct-23,7,n/a
20-Oct-23,24,n/a
21-Oct-23,22,n/a
22-Oct-23,22,n/a
23-Oct-23,23,n/a
24-Oct-23,23,n/a
25-Oct-23,23,n/a
26-Oct-23,24,n/a
27-Oct-23,23,n/a
28-Oct-23,24,n/a
29-Oct-23,23,n/a
30-Oct-23,24,n/a
31-Oct-23,24,n/a
01-Nov-23,24,n/a
02-Nov-23,24,n/a
03-Nov-23,25,n/a
04-Nov-23,25,n/a
05-Nov-23,25,n/a
06-Nov-23,25,n/a
07-Nov-23,27,n/a
08-Nov-23,25,n/a
09-Nov-23,25,n/a
10-Nov-23,26,n/a
11-Nov-23,26,n/a
12-Nov-23,26,n/a
13-Nov-23,28,n/a
14-Nov-23,26,n/a
15-Nov-23,27,n/a
16-Nov-23,27,n/a
17-Nov-23,28,n/a
18-Nov-23,27,n/a
19-Nov-23,27,n/a
20-Nov-23,27,n/a
21-Nov-23,30,n/a
22-Nov-23,28,n/a
23-Nov-23,28,n/a
24-Nov-23,28,n/a
25-Nov-23,28,n/a
26-Nov-23,28,n/a
27-Nov-23,28,n/a
28-Nov-23,28,n/a
29-Nov-23,30,n/a
30-Nov-23,30,n/a
02-Dec-23,31,n/a
03-Dec-23,28,n/a
04-Dec-23,30,n/a
05-Dec-23,30,n/a
06-Dec-23,31,n/a
07-Dec-23,31,n/a
08-Dec-23,31,n/a
09-Dec-23,33,n/a
10-Dec-23,31,n/a
11-Dec-23,31,n/a
12-Dec-23,32,n/a
13-Dec-23,31,n/a
14-Dec-23,32,n/a
15-Dec-23,32,n/a
16-Dec-23,32,n/a
17-Dec-23,32,n/a
18-Dec-23,32,n/a
19-Dec-23,32,n/a
20-Dec-23,33,n/a
21-Dec-23,33,n/a
22-Dec-23,32,n/a
23-Dec-23,2,n/a
24-Dec-23,3,n/a
25-Dec-23,2,n/a
26-Dec-23,2,n/a
27-Dec-23,2,n/a
28-Dec-23,2,n/a
29-Dec-23,2,n/a
30-Dec-23,2,n/a
31-Dec-23,3,n/a
